column,uri,entity_alias,notes
observationID,http://rs.tdwg.org/dwc/terms/eventID,vertTraitObsProc,
materialSampleID,http://rs.tdwg.org/dwc/terms/materialSampleID,vertOrg,
individualID,urn:individualID,vertOrg,
institutionCode,http://rs.tdwg.org/dwc/terms/ownerInstitutionCode,vertOrg,
collectionCode,http://rs.tdwg.org/dwc/terms/collectionCode,vertOrg,
catalogNumber,http://rs.tdwg.org/dwc/terms/catalogNumber,vertOrg,
scientificName,http://rs.tdwg.org/dwc/terms/scientificName,vertOrg,
decimalLatitude,http://rs.tdwg.org/dwc/terms/decimalLatitude,vertTraitObsProc,
decimalLongitude,http://rs.tdwg.org/dwc/terms/decimalLongitude,vertTraitObsProc,
coordinateUncertaintyInMeters,http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters,vertTraitObsProc,
country,http://rs.tdwg.org/dwc/terms/country,vertTraitObsProc,
verbatimLocality,http://rs.tdwg.org/dwc/terms/verbatimLocality,vertTraitObsProc,
minimumElevationInMeters,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters,vertTraitObsProc,
maximumElevationInMeters,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters,vertTraitObsProc,
verbatimEventDate,http://rs.tdwg.org/dwc/terms/verbatimEventDate,vertTraitObsProc,
eventRemarks,http://rs.tdwg.org/dwc/terms/eventRemarks,vertTraitObsProc,
basisOfRecord,http://rs.tdwg.org/dwc/terms/basisOfRecord,vertOrg,
sex,http://rs.tdwg.org/dwc/terms/sex,vertOrg,
ageValue,urn:ageValue,vertOrg,
ageUnit,urn:ageUnit,vertOrg,
measurementType,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,vertTrait,specifying rdf:type means we will be mapping values as object properties
measurementValue,http://rs.tdwg.org/dwc/terms/measurementValue,measurementDatum,
measurementUnit,http://rs.tdwg.org/dwc/terms/measurementUnit,measurementDatum,
measurementMethod,http://rs.tdwg.org/dwc/terms/measurementMethod,measurementDatum,
measurementSide,urn:measurementSide,measurementDatum,
minimumChronometricAge,urn:minimumChronometricAge,vertTraitObsProc,
minimumChronometricAgeReferenceSystem,urn:minimumChronometricAgeReferenceSystem,vertTraitObsProc,
maximumChronometricAge,urn:maximumChronometricAge,vertTraitObsProc,
maximumChronometricAgeReferenceSystem,urn:maximumChronometricAgeReferenceSystem,vertTraitObsProc,
chronometricAgeProtocol,urn:chronometricAgeProtocol,vertTraitObsProc,
chronometricAgeUncertaintyMethod,urn:chronometricAgeUncertaintyMethod,vertTraitObsProc,
chronometricAgeUncertaintyInYears,urn:chronometricAgeUncertaintyInYears,vertTraitObsProc,
lithostratigraphicTerms,http://rs.tdwg.org/dwc/terms/lithostratigraphicTerms,vertTraitObsProc,
group,http://rs.tdwg.org/dwc/terms/group,vertTraitObsProc,
formation,http://rs.tdwg.org/dwc/terms/formation,vertTraitObsProc,
member,http://rs.tdwg.org/dwc/terms/member,vertTraitObsProc,
bed,http://rs.tdwg.org/dwc/terms/bed,vertTraitObsProc,
sitename,http://rs.tdwg.org/dwc/terms/locationRemarks,vertTraitObsProc,
contextName,http://perio.do/en/,vertTraitObsProc,
culturalStratigraphyCulturalRegion,urn:culturalStratigraphyCulturalRegion,vertTraitObsProc,
culturalStratigraphyCultureName,urn:culturalStratigraphyCulture,vertTraitObsProc,
culturalStratigraphyOccupationPeriod,urn:culturalStratigraphyOccupationPeriod,vertTraitObsProc,
culturalStratigraphyLocalChronology,urn:culturalStratigraphyLocalChronology,vertTraitObsProc,
references,http://purl.org/dc/terms/references,vertTraitObsProc,
